,data,time_casa,time_visitante,resultado
208,01/09/2018 16:00h,Vitória,América MG,1-0
209,01/09/2018 16:00h,Grêmio,Botafogo,4-0
210,01/09/2018 19:00h,Vasco,Santos,0-3
211,01/09/2018 21:00h,Corinthians,Atlético MG,1-1
212,02/09/2018 11:00h,Flamengo,Ceará,0-1
213,02/09/2018 16:00h,Atlético PR,Bahia,2-0
214,02/09/2018 16:00h,São Paulo,Fluminense,1-1
215,02/09/2018 16:00h,Sport,Paraná,1-0
216,02/09/2018 19:00h,Cruzeiro,Internacional,0-0
217,02/09/2018 19:00h,Chapecoense,Palmeiras,1-2
218,05/09/2018 19:30h,Bahia,Sport,2-0
219,05/09/2018 19:30h,Botafogo,Cruzeiro,1-1
220,05/09/2018 20:00h,Ceará,Corinthians,2-1
221,05/09/2018 21:00h,Paraná,Chapecoense,1-1
222,05/09/2018 21:00h,Palmeiras,Atlético PR,2-0
223,05/09/2018 21:45h,Atlético MG,São Paulo,1-0
224,05/09/2018 21:45h,Internacional,Flamengo,2-1
225,06/09/2018 19:00h,Fluminense,Vitória,0-0
226,06/09/2018 19:00h,Santos,Grêmio,0-0
227,06/09/2018 20:00h,América MG,Vasco,2-1
228,08/09/2018 16:00h,Sport,Cruzeiro,0-0
229,08/09/2018 19:00h,São Paulo,Bahia,1-0
230,08/09/2018 21:00h,Flamengo,Chapecoense,2-0
231,09/09/2018 16:00h,Palmeiras,Corinthians,1-0
232,09/09/2018 16:00h,Internacional,Grêmio,1-0
233,09/09/2018 16:00h,América MG,Ceará,0-0
234,09/09/2018 16:00h,Fluminense,Botafogo,1-0
235,09/09/2018 19:00h,Paraná,Santos,0-2
236,09/09/2018 19:00h,Vitória,Vasco,1-0
237,10/09/2018 20:00h,Atlético MG,Atlético PR,3-1
238,13/09/2018 20:00h,Chapecoense,Atlético PR,2-1
239,15/09/2018 16:00h,Ceará,Vitória,2-0
240,15/09/2018 16:00h,Grêmio,Paraná,2-0
241,15/09/2018 19:00h,Vasco,Flamengo,1-1
242,16/09/2018 11:00h,Botafogo,América MG,1-0
243,16/09/2018 16:00h,Cruzeiro,Atlético MG,0-0
244,16/09/2018 16:00h,Atlético PR,Fluminense,3-1
245,16/09/2018 16:00h,Bahia,Palmeiras,1-1
246,16/09/2018 16:00h,Santos,São Paulo,0-0
247,16/09/2018 19:00h,Corinthians,Sport,2-1
248,17/09/2018 20:00h,Chapecoense,Internacional,2-1
249,22/09/2018 16:00h,São Paulo,América MG,1-1
250,23/09/2018 11:00h,Grêmio,Ceará,3-2
251,23/09/2018 16:00h,Atlético PR,Paraná,3-0
252,23/09/2018 16:00h,Flamengo,Atlético MG,2-1
253,23/09/2018 16:00h,Corinthians,Internacional,1-1
254,23/09/2018 18:00h,Vitória,Botafogo,3-4
255,23/09/2018 18:00h,Sport,Palmeiras,0-1
256,23/09/2018 19:00h,Cruzeiro,Santos,2-1
257,24/09/2018 20:00h,Chapecoense,Fluminense,1-2
258,24/09/2018 20:00h,Vasco,Bahia,2-1
259,27/09/2018 20:00h,Santos,Vasco,1-1
260,29/09/2018 16:00h,Fluminense,Grêmio,0-1
261,29/09/2018 19:00h,América MG,Corinthians,0-0
262,29/09/2018 21:00h,Bahia,Flamengo,0-0
263,30/09/2018 11:00h,Palmeiras,Cruzeiro,3-1
264,30/09/2018 16:00h,Atlético MG,Sport,5-2
265,30/09/2018 16:00h,Botafogo,São Paulo,2-2
266,30/09/2018 16:00h,Santos,Atlético PR,1-0
267,30/09/2018 16:00h,Internacional,Vitória,2-1
268,30/09/2018 19:00h,Ceará,Chapecoense,3-1
269,01/10/2018 20:00h,Paraná,Vasco,1-1
270,05/10/2018 19:00h,Sport,Internacional,2-1
271,05/10/2018 21:00h,Corinthians,Flamengo,0-3
272,05/10/2018 21:30h,Vitória,Santos,0-1
273,06/10/2018 16:00h,Atlético PR,América MG,4-0
274,06/10/2018 16:00h,Chapecoense,Atlético MG,1-0
275,06/10/2018 18:00h,São Paulo,Palmeiras,0-2
276,06/10/2018 21:00h,Grêmio,Bahia,2-2
277,08/10/2018 20:00h,Fluminense,Paraná,4-0
278,09/10/2018 21:00h,Botafogo,Vasco,1-1
279,13/10/2018 17:00h,Flamengo,Fluminense,3-0
280,13/10/2018 19:00h,Santos,Corinthians,1-0
281,13/10/2018 21:00h,Bahia,Paraná,2-0
282,14/10/2018 11:00h,Chapecoense,Vitória,0-1
283,14/10/2018 16:00h,Vasco,Cruzeiro,2-0
284,14/10/2018 16:00h,Palmeiras,Grêmio,2-0
285,14/10/2018 16:00h,Internacional,São Paulo,3-1
286,14/10/2018 19:00h,Atlético MG,América MG,0-0
287,14/10/2018 19:00h,Atlético PR,Sport,4-0
288,15/10/2018 20:00h,Ceará,Botafogo,0-0
289,20/10/2018 16:00h,América MG,Grêmio,1-1
290,20/10/2018 16:00h,Botafogo,Bahia,0-1
291,20/10/2018 19:00h,São Paulo,Atlético PR,0-0
292,20/10/2018 19:00h,Sport,Vasco,2-1
293,21/10/2018 16:00h,Vitória,Corinthians,2-2
294,21/10/2018 16:00h,Fluminense,Atlético MG,1-0
295,21/10/2018 16:00h,Palmeiras,Ceará,2-1
296,21/10/2018 19:00h,Cruzeiro,Chapecoense,3-0
297,21/10/2018 19:00h,Paraná,Flamengo,0-4
298,22/10/2018 20:00h,Internacional,Santos,2-2
299,24/10/2018 19:30h,Cruzeiro,Ceará,0-2
300,26/10/2018 19:30h,Vitória,São Paulo,0-1
301,26/10/2018 21:30h,Vasco,Internacional,1-1
302,27/10/2018 16:30h,Santos,Fluminense,3-0
303,27/10/2018 16:30h,Grêmio,Sport,3-4
304,27/10/2018 19:00h,Chapecoense,América MG,1-0
305,27/10/2018 19:00h,Flamengo,Palmeiras,1-1
306,27/10/2018 19:00h,Corinthians,Bahia,2-1
307,27/10/2018 21:00h,Cruzeiro,Paraná,3-1
308,27/10/2018 21:00h,Atlético PR,Botafogo,2-1
309,29/10/2018 20:00h,Ceará,Atlético MG,2-1
310,03/11/2018 17:00h,Atlético MG,Grêmio,0-1
311,03/11/2018 17:00h,Fluminense,Vasco,0-1
312,03/11/2018 19:00h,Palmeiras,Santos,3-2
313,04/11/2018 17:00h,Paraná,Vitória,1-1
314,04/11/2018 17:00h,América MG,Cruzeiro,1-2
315,04/11/2018 17:00h,Botafogo,Corinthians,1-0
316,04/11/2018 17:00h,São Paulo,Flamengo,2-2
317,04/11/2018 19:00h,Bahia,Chapecoense,1-0
318,04/11/2018 19:00h,Internacional,Atlético PR,2-1
319,05/11/2018 20:00h,Sport,Ceará,1-0
320,10/11/2018 17:00h,América MG,Paraná,0-1
321,10/11/2018 17:00h,Corinthians,São Paulo,1-1
322,10/11/2018 19:00h,Atlético PR,Cruzeiro,2-0
323,10/11/2018 19:00h,Botafogo,Flamengo,2-1
324,11/11/2018 17:00h,Atlético MG,Palmeiras,1-1
325,11/11/2018 17:00h,Vitória,Bahia,2-2
326,11/11/2018 17:00h,Ceará,Internacional,1-1
327,11/11/2018 17:00h,Grêmio,Vasco,2-1
328,11/11/2018 19:00h,Fluminense,Sport,0-0
329,12/11/2018 20:00h,Santos,Chapecoense,0-1
330,14/11/2018 19:30h,Vasco,Atlético PR,1-1
331,14/11/2018 21:00h,Paraná,Atlético MG,0-1
332,14/11/2018 21:00h,Bahia,Ceará,2-1
333,14/11/2018 21:45h,Cruzeiro,Corinthians,1-0
334,14/11/2018 21:45h,Sport,Vitória,0-0
335,14/11/2018 21:45h,Palmeiras,Fluminense,3-0
336,15/11/2018 17:00h,Chapecoense,Botafogo,0-1
337,15/11/2018 17:00h,Flamengo,Santos,1-0
338,15/11/2018 19:00h,São Paulo,Grêmio,1-1
339,15/11/2018 21:00h,Internacional,América MG,2-0
340,17/11/2018 19:00h,Vitória,Atlético PR,1-2
341,17/11/2018 19:00h,Corinthians,Vasco,1-0
342,17/11/2018 21:00h,Atlético MG,Bahia,1-0
343,18/11/2018 17:00h,Paraná,Palmeiras,1-1
344,18/11/2018 17:00h,América MG,Santos,2-1
345,18/11/2018 17:00h,Botafogo,Internacional,1-0
346,18/11/2018 17:00h,Sport,Flamengo,0-1
347,18/11/2018 19:00h,São Paulo,Cruzeiro,1-0
348,18/11/2018 19:00h,Grêmio,Chapecoense,2-0
349,19/11/2018 20:00h,Fluminense,Ceará,0-0
350,21/11/2018 19:30h,Internacional,Atlético MG,1-2
351,21/11/2018 21:00h,Santos,Botafogo,1-1
352,21/11/2018 21:45h,Cruzeiro,Vitória,3-0
353,21/11/2018 21:45h,Atlético PR,Corinthians,1-0
354,21/11/2018 21:45h,Flamengo,Grêmio,2-0
355,21/11/2018 21:45h,Palmeiras,América MG,4-0
356,22/11/2018 20:00h,Vasco,São Paulo,2-0
357,22/11/2018 21:00h,Chapecoense,Sport,2-1
358,22/11/2018 21:00h,Bahia,Fluminense,2-0
359,22/11/2018 21:00h,Ceará,Paraná,1-0
360,24/11/2018 20:00h,Santos,Atlético MG,3-2
361,25/11/2018 17:00h,Cruzeiro,Flamengo,0-2
362,25/11/2018 17:00h,Atlético PR,Ceará,2-2
363,25/11/2018 17:00h,Vitória,Grêmio,0-0
364,25/11/2018 17:00h,Vasco,Palmeiras,0-1
365,25/11/2018 19:00h,América MG,Bahia,1-0
366,25/11/2018 19:00h,Corinthians,Chapecoense,0-0
367,25/11/2018 19:00h,Internacional,Fluminense,2-0
368,26/11/2018 20:00h,Botafogo,Paraná,2-1
369,26/11/2018 20:00h,São Paulo,Sport,0-0
370,01/12/2018 19:00h,Atlético MG,Botafogo,1-0
371,01/12/2018 19:00h,Flamengo,Atlético PR,1-2
372,02/12/2018 17:00h,Paraná,Internacional,1-1
373,02/12/2018 17:00h,Chapecoense,São Paulo,1-0
374,02/12/2018 17:00h,Bahia,Cruzeiro,0-0
375,02/12/2018 17:00h,Fluminense,América MG,1-0
376,02/12/2018 17:00h,Ceará,Vasco,0-0
377,02/12/2018 17:00h,Sport,Santos,2-1
378,02/12/2018 17:00h,Palmeiras,Vitória,3-2
379,02/12/2018 17:00h,Grêmio,Corinthians,1-0
