,data,time_casa,time_visitante,resultado,id_partida,link
731,2008-11-22 18:30:00,Botafogo,Atlético PR,2-2,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/atletico-pr/578390/1/live
732,2008-11-22 18:30:00,Portuguesa,Goiás,0-0,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/portuguesa/goias/578393/1/live
733,2008-11-22 18:30:00,Coritiba,Santos,5-1,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/coritiba/santos/578394/1/live
734,2008-11-23 17:00:00,Vitória,Grêmio,4-2,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vitoria/gremio/578392/1/live
735,2008-11-23 17:00:00,Vasco,São Paulo,1-2,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vasco/sao-paulo/578396/1/live
736,2008-11-23 17:00:00,Cruzeiro,Flamengo,3-2,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/flamengo/578398/1/live
737,2008-11-23 19:10:00,Internacional,Fluminense,0-2,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/internacional/fluminense/578391/1/live
738,2008-11-23 19:10:00,Sport,Atlético MG,3-0,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/atletico-mg/578395/1/live
739,2008-11-23 19:10:00,Palmeiras,Betim,2-0,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/ipatinga/578399/1/live
740,2008-11-30 16:00:00,Coritiba,Vasco,0-2,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/coritiba/vasco/578404/1/live
741,2008-11-30 16:00:00,Betim,Grêmio,1-4,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/ipatinga/gremio/578407/1/live
742,2008-11-30 16:00:00,São Paulo,Fluminense,1-1,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/fluminense/578409/1/live
743,2008-11-30 17:00:00,Botafogo,Figueirense,1-3,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/figueirense/578400/1/live
744,2008-11-30 17:00:00,Internacional,Cruzeiro,1-0,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/internacional/cruzeiro/578401/1/live
745,2008-11-30 17:00:00,Vitória,Palmeiras,0-0,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vitoria/palmeiras/578402/1/live
746,2008-11-30 17:00:00,Portuguesa,Sport,2-2,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/portuguesa/sport/578403/1/live
747,2008-11-30 17:00:00,Náutico,Atlético PR,2-1,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/nautico/atletico-pr/578405/1/live
748,2008-11-30 17:00:00,Flamengo,Goiás,3-3,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/goias/578406/1/live
749,2008-11-30 17:00:00,Atlético MG,Santos,0-0,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/santos/578408/1/live
750,2008-12-07 17:00:00,Fluminense,Betim,1-1,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/ipatinga/578410/1/live
751,2008-12-07 17:00:00,Grêmio,Atlético MG,2-0,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/atletico-mg/578411/1/live
752,2008-12-07 17:00:00,Goiás,São Paulo,0-1,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/goias/sao-paulo/578412/1/live
753,2008-12-07 17:00:00,Santos,Náutico,0-0,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/nautico/578413/1/live
754,2008-12-07 17:00:00,Atlético PR,Flamengo,5-3,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/flamengo/578414/1/live
755,2008-12-07 17:00:00,Sport,Coritiba,4-3,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/coritiba/578415/1/live
756,2008-12-07 17:00:00,Vasco,Vitória,0-2,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vasco/vitoria/578416/1/live
757,2008-12-07 17:00:00,Figueirense,Internacional,3-1,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/figueirense/internacional/578417/1/live
758,2008-12-07 17:00:00,Cruzeiro,Portuguesa,4-1,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/portuguesa/578418/1/live
759,2008-12-07 17:00:00,Palmeiras,Botafogo,0-1,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/botafogo/578419/1/live
760,2009-05-09 19:30:00,Avaí,Atlético MG,2-2,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/avai/atletico-mg/772903/1/live
761,2009-05-09 19:30:00,Sport,Grêmio Barueri,1-1,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/gremio-barueri/772904/1/live
762,2009-05-09 19:30:00,Palmeiras,Coritiba,2-1,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/coritiba/772905/1/live
763,2009-05-10 17:00:00,Cruzeiro,Flamengo,2-0,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/flamengo/772992/1/live
764,2009-05-10 17:00:00,Corinthians,Internacional,0-1,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/corinthians/internacional/772993/1/live
765,2009-05-10 17:00:00,Fluminense,São Paulo,1-0,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/sao-paulo/772994/1/live
766,2009-05-10 17:00:00,Atlético PR,Vitória,0-2,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/vitoria/772995/1/live
767,2009-05-10 19:30:00,Santo André,Botafogo,1-1,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santo-andre/botafogo/772906/1/live
768,2009-05-10 19:30:00,Goiás,Náutico,3-3,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/goias/nautico/772907/1/live
