,data,time_casa,time_visitante,resultado,id_partida,link
147,20/07/2017 19:30h,Fluminense,Cruzeiro,1-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/cruzeiro/2419106/1/live
148,20/07/2017 20:00h,Sport,Atlético GO,4-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/atletico-go/2419112/1/live
149,20/07/2017 21:00h,Atlético PR,Botafogo,0-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/botafogo/2419111/1/live
150,22/07/2017 16:00h,Vitória,Chapecoense,1-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vitoria/chapecoense/2419123/1/live
151,22/07/2017 19:00h,Flamengo,Coritiba,2-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/coritiba/2419117/1/live
152,23/07/2017 11:00h,Santos,Bahia,3-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/bahia/2419118/1/live
153,23/07/2017 16:00h,Fluminense,Corinthians,0-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/corinthians/2419116/1/live
154,23/07/2017 16:00h,Sport,Palmeiras,0-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/palmeiras/2419122/1/live
155,23/07/2017 16:00h,Avaí,Cruzeiro,1-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/avai/cruzeiro/2419125/1/live
156,23/07/2017 19:00h,Atlético MG,Vasco,1-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/vasco/2419120/1/live
157,23/07/2017 19:00h,Atlético PR,Ponte Preta,0-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/ponte-preta/2419121/1/live
158,23/07/2017 19:00h,Atlético GO,Botafogo,1-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-go/botafogo/2419124/1/live
159,24/07/2017 20:00h,São Paulo,Grêmio,1-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/gremio/2419119/1/live
160,29/07/2017 16:00h,Botafogo,São Paulo,3-4,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/sao-paulo/2419126/1/live
161,29/07/2017 19:00h,Palmeiras,Avaí,2-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/avai/2419128/1/live
162,30/07/2017 11:00h,Chapecoense,Atlético GO,1-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/chapecoense/atletico-go/2419135/1/live
163,30/07/2017 16:00h,Corinthians,Flamengo,1-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/corinthians/flamengo/2419129/1/live
164,30/07/2017 16:00h,Coritiba,Atlético MG,0-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/coritiba/atletico-mg/2419131/1/live
165,30/07/2017 16:00h,Bahia,Sport,1-3,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/bahia/sport/2419133/1/live
166,30/07/2017 19:00h,Cruzeiro,Vitória,0-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/vitoria/2419130/1/live
167,30/07/2017 19:00h,Grêmio,Santos,1-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/santos/2419132/1/live
168,31/07/2017 20:00h,Vasco,Atlético PR,0-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vasco/atletico-pr/2419127/1/live
169,02/08/2017 19:30h,Sport,Fluminense,2-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/fluminense/2419142/1/live
170,02/08/2017 19:30h,Chapecoense,Bahia,1-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/chapecoense/bahia/2419145/1/live
171,02/08/2017 21:00h,Atlético MG,Corinthians,0-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/corinthians/2419140/1/live
172,02/08/2017 21:00h,Vitória,Ponte Preta,3-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vitoria/ponte-preta/2419143/1/live
173,02/08/2017 21:45h,Botafogo,Palmeiras,1-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/palmeiras/2419136/1/live
174,02/08/2017 21:45h,Santos,Flamengo,3-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/flamengo/2419138/1/live
175,02/08/2017 21:45h,Atlético GO,Grêmio,0-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-go/gremio/2419144/1/live
176,03/08/2017 19:30h,São Paulo,Coritiba,1-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/coritiba/2419139/1/live
177,03/08/2017 19:30h,Atlético PR,Avaí,5-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/avai/2419141/1/live
178,03/08/2017 20:00h,Vasco,Cruzeiro,0-3,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vasco/cruzeiro/2419137/1/live
179,05/08/2017 19:00h,Fluminense,Atlético GO,3-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/atletico-go/2419146/1/live
